serviceCharge,picturecount,pricetrend,livingSpace,baseRentRange,noRooms,noRoomsRange,livingSpaceRange,totalRent
0.0,19,4.4,18.0,6,1,1,1,850.0
150.0,0,4.4,76.0,5,3,3,3,800.0
0.0,30,7.37,120.0,9,4,4,5,2200.0
200.0,0,6.47,132.0,6,4,4,6,1150.0
118.0,3,4.99,61.0,3,2,2,3,606.5
78.0,3,5.58,55.61,3,2,2,2,552.47
63.41,11,1.97,55.14,1,2,2,2,405.28
0.0,4,3.57,23.0,6,1,1,1,850.0
104.0,7,1.96,47.0,1,2,2,2,324.0
160.0,5,0.0,70.05,2,4,4,3,495.0
170.0,17,3.43,89.0,6,3,3,4,950.0
155.0,16,3.89,66.16,3,2,2,3,612.0
225.0,12,3.8,98.0,7,3,3,4,1475.0
135.0,8,0.0,61.88,1,2,2,3,395.0
160.0,18,3.97,62.0,4,2,2,3,760.0
400.0,0,4.81,150.0,8,4,4,6,1950.0
90.0,7,4.88,70.0,5,2,2,3,890.0
150.0,5,3.9,69.22,4,2,2,3,700.0
290.0,10,7.66,122.0,7,4,4,6,1380.0
240.0,10,5.92,60.0,7,2,2,2,1425.0
518.0,13,4.99,145.92,9,3,3,6,2986.95
115.0,6,2.63,97.0,5,3,3,4,890.0
120.0,6,4.48,32.0,5,1,1,1,740.0
280.0,2,3.93,84.0,5,3,3,4,930.0
200.0,1,3.74,63.0,4,3,3,3,800.0
300.0,30,0.58,130.0,5,5,5,6,950.0
146.0,13,4.23,70.88,4,2,2,3,713.04
45.0,9,1.01,64.78,2,2,2,3,390.0
71.0,2,2.0,62.6,1,3,3,3,437.0
129.66,16,3.71,73.24,3,3,3,3,630.6
210.0,8,1.69,72.0,4,3,3,3,790.0
70.0,6,4.84,63.0,2,2,2,3,423.0
134.0,3,3.17,59.6,3,2,2,2,551.2
35.0,1,3.49,23.0,1,1,1,1,366.0
125.0,6,4.6,72.0,5,3,3,3,885.0
199.0,11,3.19,80.0,5,2,2,3,889.0
290.0,3,4.09,120.0,7,4,4,5,1600.0
160.0,9,4.09,45.0,3,1,1,2,650.0
300.0,3,2.67,105.0,6,4,4,5,1110.0
200.0,9,3.31,86.0,3,3,3,4,698.0
120.0,8,3.95,45.27,2,2,2,2,450.0
60.0,12,4.2,20.0,2,1,1,1,430.0
120.0,8,3.17,57.7,2,3,3,2,570.0
140.0,17,4.9,84.0,7,4,4,4,1340.0
102.08,6,1.08,63.8,3,3,3,3,660.33
100.0,10,2.81,70.0,5,2,2,3,850.0
174.0,4,4.96,54.11,4,2,2,2,732.96
150.0,7,2.76,68.33,3,2,2,3,595.0
120.0,10,4.24,85.0,6,3,3,4,1170.0
150.0,13,6.94,126.0,5,4,4,6,900.0
140.0,10,0.79,67.0,2,3,3,3,460.0
60.0,2,3.06,43.83,1,1,1,2,329.0
85.0,5,4.51,65.0,4,3,3,3,715.0
240.0,6,4.27,102.0,7,3,3,5,1668.0
200.0,23,3.45,77.0,2,3,3,3,550.0
0.0,23,7.53,60.0,8,2,2,2,1850.0
120.0,13,3.68,81.0,3,2,2,4,650.0
120.0,8,2.12,49.07,2,2,2,2,520.0
285.0,9,3.18,80.5,3,3,3,3,722.31
95.1,7,2.34,66.5,2,3,3,3,534.0
55.0,12,0.0,50.89,1,2,2,2,380.0
110.0,6,2.12,51.94,1,2,2,2,360.0
100.0,12,1.66,81.0,2,3,3,4,589.0
160.0,11,3.28,105.0,4,3,3,5,700.0
112.67,10,2.19,47.54,1,2,2,2,359.88
128.0,8,3.88,26.0,1,1,1,1,418.0
75.0,0,2.94,63.2,2,2,2,3,575.0
120.0,7,3.86,123.0,8,4,4,6,1920.0
60.0,1,2.7,34.0,1,1,1,1,400.0
300.0,7,4.48,110.0,9,3,3,5,2500.0
147.56,4,2.08,57.28,1,3,3,2,416.78
170.0,16,-0.21,76.59,2,4,4,3,520.0
126.0,7,4.17,59.66,2,2,2,2,505.28
310.0,10,4.93,125.0,8,3,3,6,2135.0
120.0,0,3.52,101.0,5,5,5,5,840.0
118.0,8,3.33,67.0,3,3,3,3,520.0
77.0,6,1.3,57.37,1,3,3,2,388.0
280.0,12,3.05,105.63,4,4,4,5,870.0
